time,massFlow,test,unit
"11100,0143","0,2584091732",2019_07_01,A1
"11160,01439","0,2589336227",2019_07_01,A1
"11220,01444","0,2611222239",2019_07_01,A1
"11280,01421","0,2615253859",2019_07_01,A1
"11340,01426","0,2570163952",2019_07_01,A1
"11400,01437","0,2637059234",2019_07_01,A1
"11460,01545","0,2640415885",2019_07_01,A1
"11520,01551","0,2581909725",2019_07_01,A1
"11580,01556","0,2565019959",2019_07_01,A1
"11640,01656","0,2582808071",2019_07_01,A1
"11700,01657","0,2568912011",2019_07_01,A1
"11760,01669","0,2583233788",2019_07_01,A1
"11820,01687","0,2645573067",2019_07_01,A1
"11880,01705","0,2609583647",2019_07_01,A1
"11940,01679","0,259978415",2019_07_01,A1
"12000,01681","0,2556340347",2019_07_01,A1
"12060,01685","0,2579183469",2019_07_01,A1
"12120,01699","0,2601659306",2019_07_01,A1
"12180,01622","0,2638381293",2019_07_01,A1
"12240,01627","0,2560022546",2019_07_01,A1
"12300,01638","0,2568061579",2019_07_01,A1
"12360,0164","0,2581633427",2019_07_01,A1
"12420,01657","0,2548920189",2019_07_01,A1
"12480,01658","0,2518075262",2019_07_01,A1
"12540,01674","0,2551690018",2019_07_01,A1
"12600,01679","0,249024875",2019_07_01,A1
"12660,0169","0,2508697976",2019_07_01,A1
"12720,01662","0,2531757462",2019_07_01,A1
"12780,01669","0,2517049035",2019_07_01,A1
"12840,0167","0,2557543539",2019_07_01,A1
"12900,01677","0,2553636462",2019_07_01,A1
"12960,01693","0,2556950374",2019_07_01,A1
"13020,01668","0,2553713424",2019_07_01,A1
"13080,01656","0,2566787935",2019_07_01,A1
"13140,01662","0,2521313046",2019_07_01,A1
"13200,0167","0,2465003918",2019_07_01,A1
"13260,01626","0,2501163959",2019_07_01,A1
"13320,01641","0,251842051",2019_07_01,A1
"13380,01643","0,2537524838",2019_07_01,A1
"13440,01655","0,2503498055",2019_07_01,A1
"13500,01642","0,2522726592",2019_07_01,A1
"13560,01666","0,2470364609",2019_07_01,A1
"13620,01684","0,2524685557",2019_07_01,A1
"13680,01772","0,2483134774",2019_07_01,A1
"13740,0192","0,256283912",2019_07_01,A1
"13800,01886","0,257477872",2019_07_01,A1
"13860,01855","0,2582995386",2019_07_01,A1
"13920,01892","0,2486119466",2019_07_01,A1
"13980,01854","0,2487756221",2019_07_01,A1
"14040,01867","0,2490665285",2019_07_01,A1
"14100,01872","0,2464091883",2019_07_01,A1
"14160,01877","0,2523895727",2019_07_01,A1
"14220,0188","0,2524786393",2019_07_01,A1
"14280,01942","0,2496810797",2019_07_01,A1
"14340,01856","0,2489119349",2019_07_01,A1
"14400,01871","0,2580291334",2019_07_01,A1
"14460,01841","0,2494307417",2019_07_01,A1
"14520,01856","0,2460230215",2019_07_01,A1
"14580,01865","0,248984073",2019_07_01,A1
"14640,01881","0,2512099035",2019_07_01,A1
"14700,01888","0,2464666851",2019_07_01,A1
"14760,01897","0,2429034198",2019_07_01,A1
"14820,01913","0,2478012818",2019_07_01,A1
"14880,01911","0,2429714343",2019_07_01,A1
"14940,01819","0,2494424781",2019_07_01,A1
"15000,01923","0,2494676037",2019_07_01,A1
"15060,01934","0,253366868",2019_07_01,A1
"15120,01944","0,2524437306",2019_07_01,A1
"15180,01947","0,2557825013",2019_07_01,A1
"15240,0196","0,2522981689",2019_07_01,A1
"15300,01966","0,2521564803",2019_07_01,A1
"15360,01975","0,2508507154",2019_07_01,A1
"15420,01972","0,2531418892",2019_07_01,A1
"15480,01965","0,2522005045",2019_07_01,A1
"15540,01981","0,2482914403",2019_07_01,A1
"15600,01968","0,2556355205",2019_07_01,A1
"15660,0193","0,2436461201",2019_07_01,A1
"15720,0203","0,2482343108",2019_07_01,A1
"15780,02048","0,2528896312",2019_07_01,A1
"15840,02155","0,252293895",2019_07_01,A1
"15900,02175","0,2535038152",2019_07_01,A1
"15960,0217","0,2601655634",2019_07_01,A1
"16020,02179","0,2556298777",2019_07_01,A1
"16080,02185","0,2530194164",2019_07_01,A1
"16140,02256","0,2558766097",2019_07_01,A1
"16200,02256","0,2539573453",2019_07_01,A1
"16260,02252","0,2521968984",2019_07_01,A1
"16320,02304","0,2558929205",2019_07_01,A1
"16380,02216","0,2551806047",2019_07_01,A1
"16440,02221","0,2556228826",2019_07_01,A1
"16500,023","0,2590324725",2019_07_01,A1
"16560,02311","0,2523817095",2019_07_01,A1
"16620,02212","0,2575841343",2019_07_01,A1
"16680,0223","0,2561816733",2019_07_01,A1
"16740,02298","0,2606434679",2019_07_01,A1
"16800,02305","0,2543222597",2019_07_01,A1
"16860,02319","0,2589637234",2019_07_01,A1
"16920,02409","0,2537657061",2019_07_01,A1
"16980,02324","0,2544937818",2019_07_01,A1
"17040,02316","0,2522831269",2019_07_01,A1
"17100,02362","0,2548970607",2019_07_01,A1
"17160,0237","0,2599733731",2019_07_01,A1
"17220,02375","0,2557649551",2019_07_01,A1
"17280,02387","0,2566527162",2019_07_01,A1
"17340,02397","0,262629311",2019_07_01,A1
