time,massFlow,signal,unit,anomaly
21480.03204795,0.244905890881911,2019_07_01,A1,0
21540.03117795,0.246671262810517,2019_07_01,A1,0
21600.03131795,0.24733664965544,2019_07_01,A1,0
21660.03132795,0.246993505307996,2019_07_01,A1,0
21720.03141795,0.249647890544506,2019_07_01,A1,0
21780.03152795,0.243493980649956,2019_07_01,A1,0
21840.03127795,0.249962520203102,2019_07_01,A1,0
21900.03136795,0.246121570765154,2019_07_01,A1,0
21960.03135795,0.245940265555717,2019_07_01,A1,0
22020.03152795,0.249357050930397,2019_07_01,A1,0
22080.03163795,0.24576714076317,2019_07_01,A1,0
22140.03143795,0.249222357504597,2019_07_01,A1,0
22200.03192795,0.247233692982426,2019_07_01,A1,0
22260.03310795,0.246035542615965,2019_07_01,A1,0
22320.03222795,0.243984055661593,2019_07_01,A1,0
22380.03225795,0.254713702002872,2019_07_01,A1,0
22440.03238795,0.24509829811771,2019_07_01,A1,0
22500.03216795,0.24567934296603,2019_07_01,A1,0
22560.03228795,0.247533864974947,2019_07_01,A1,0
22620.03208795,0.245864254245251,2019_07_01,A1,0
22680.03213795,0.247766857203281,2019_07_01,A1,0
22740.03226795,0.246679126051463,2019_07_01,A1,0
22800.03229795,0.250839279523122,2019_07_01,A1,0
22860.03243795,0.250769896052735,2019_07_01,A1,0
22920.03262795,0.251411993685305,2019_07_01,A1,0
22980.03298795,0.250786674307313,2019_07_01,A1,0
23040.03369795,0.249516202167523,2019_07_01,A1,0
23100.03388795,0.251133207681411,2019_07_01,A1,0
23160.03399795,0.246077413089778,2019_07_01,A1,0
23220.03500795,0.249972837580318,2019_07_01,A1,0
23280.03499795,0.241145426912703,2019_07_01,A1,0
23340.03504795,0.248533848410039,2019_07_01,A1,0
23400.03410795,0.248099734281931,2019_07_01,A1,0
23460.03420795,0.251831216089089,2019_07_01,A1,0
23520.03424795,0.242402476465637,2019_07_01,A1,0
23580.03424795,0.24566318242589,2019_07_01,A1,0
23640.03434795,0.248351541508326,2019_07_01,A1,0
23700.03449795,0.245698825758941,2019_07_01,A1,0
23760.03449795,0.24950752089049,2019_07_01,A1,0
23820.03442795,0.251300205494021,2019_07_01,A1,0
23880.03464795,0.249411859852405,2019_07_01,A1,0
23940.03475795,0.254895942130701,2019_07_01,A1,0
24000.03486795,0.255319004340869,2019_07_01,A1,0
24060.03491795,0.256580561467026,2019_07_01,A1,0
24120.03501795,0.2545309610149,2019_07_01,A1,0
24180.03501795,0.252001152176632,2019_07_01,A1,0
24240.03419795,0.249247483138783,2019_07_01,A1,0
24300.03428795,0.252896292436463,2019_07_01,A1,0
24360.03433795,0.25308312363288,2019_07_01,A1,0
24420.03447795,0.250899163680389,2019_07_01,A1,0
24480.03469795,0.251320906994327,2019_07_01,A1,0
24540.03489795,0.243921099681627,2019_07_01,A1,0
24600.03448795,0.252833152828318,2019_07_01,A1,0
24660.03451795,0.249910015148118,2019_07_01,A1,0
24720.03464795,0.254538340117183,2019_07_01,A1,0
24780.03487795,0.258225063256007,2019_07_01,A1,0
24840.03493795,0.25048536707475,2019_07_01,A1,0
24900.03478795,0.251872585730769,2019_07_01,A1,0
24960.03489795,0.256692533286489,2019_07_01,A1,0
25020.03500795,0.260489926070026,2019_07_01,A1,0
25080.03505795,0.25667066313119,2019_07_01,A1,0
25140.03419795,0.255256599273447,2019_07_01,A1,0
